ID,Fecha,Latitude,Longitude,Establecimiento,Tipo de asentamiento ,Colonia,Vialidad,Número de vialidad (en su caso),Tipo de abastecimiento,Días ,Horarios,Capacidad de la unidad 
1,2023-Octubre,25.6352203,-100.2990693,Centro de Bienestar Familiar Burócratas municipales,Colonia,Burócratas Municipales,Avenida Alfonso Reyes,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
2,2023-Octubre,25.6390175,-100.30948,Centro de Bienestar Familiar  Valle del Mirador,Colonia,Valle del Mirador,Calle Paseo Alicia,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
3,2023-Octubre,25.74115864,-100.3381043,Centro de Bienestar Familiar Tierra y Libertad,Colonia,Tierra y Libertad,Calle Liga Femenil,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
4,2023-Octubre,25.71864166,-100.3467491,Centro de Bienestar Familiar Nueva Morelos,Colonia,Nueva Morelos,Calle Marea Alta,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
5,2023-Octubre,25.70494909,-100.3556544,Centro de Bienestar Familiar Antonio I. Villarreal,Colonia,Antonio I. Villarreal,Calle Veteranos de la Revolución,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
6,2023-Octubre,25.73304243,-100.3813566,Centro de Bienestar Familiar Valle de Infonavit,Colonia,Valle de Infonavit,Calle Comisión Tripartita,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
7,2023-Octubre,25.591861,-100.245479,Centro de Bienestar Familiar Fomerrey 45,Colonia,Fomerrey 45,Calle Paseo de la Cima,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
8,2023-Octubre,25.74052165,-100.361505,Estancia Infantil Laura Barragan,Colonia,Lomas Modelo,Calle Tenayuca,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",7:00 a.m. a 6:00 p.m.,1000 litros
9,….-Octubre,25.691325,-100.308678,Defensoria Municipal Zona Centro,Colonia,Treviño,Calle Progreso,400,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
10,2023-Octubre,25.76057894,-100.3646078,Defensoria Municipal Zona Norte,Colonia,Provileón,Calle Netzahualpilli,Sin número,contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,1000 litros
